% log of messages transmitted to brudge (outgoing) (<-)
% received from bridge (incoming) (->)
% 1 Linux timestamp (seconds since 1 jan 1970)
% 2 mission time (sec)
% 3 direction flag ->: or <-:
% 4 string send or received
1553268604.286  4.438<-: acw 0.364414 -0.155835 -9.89192
1553268604.305  4.457<-: gyw 0.396729 0 0.213623
1553268604.334  4.486<-: hbt 197.581 11.5477 1 0 1 273
1553268604.370  4.522<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.0318999
1553268604.375  4.526<-: wve 0 0.0276247
1553268604.399  4.550<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268604.428  4.579<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268604.438  4.590<-: acw 0.31167 -0.0958984 -9.74088
1553268604.465  4.617<-: gyw 0.152588 0.0305176 0.274658
1553268604.493  4.645<-: hbt 197.739 11.5477 1 0 1 273
1553268604.500  4.652<-: mca 0.0113916 0.0898683
1553268604.530  4.682<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0319477
1553268604.559  4.710<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268604.580  4.731<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268604.596  4.747<-: acw 0.314067 -0.165425 -9.93987
1553268604.608  4.759<-: mis 0 0 0 'User_mission' 0 1
1553268604.631  4.783<-: gyw 0.213623 0.274658 0.12207
1553268604.636  4.788<-: wve 0 -0.0447332
1553268604.649  4.800<-: hbt 197.896 11.5437 1 0 1 273
1553268604.685  4.837<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.0318922
1553268604.706  4.858<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268604.736  4.888<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268604.752  4.904<-: rid 86 0.21 9.68 48 0.045 0.045 0 1 9.89407 6 Thit
1553268604.762  4.913<-: acw 0.266118 -0.155835 -9.79842
1553268604.769  4.921<-: mca 0.00802297 -0.0698598
1553268604.780  4.932<-: gyw 0.335693 0.0610352 0.12207
1553268604.802  4.954<-: hbt 198.053 11.5457 1 0 1 271
1553268604.838  4.990<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0318935
1553268604.867  5.018<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268604.895  5.046<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268604.899  5.051<-: wve 0 0.0312679
1553268604.908  5.060<-: acw 0.419556 -0.210977 -9.70732
1553268604.933  5.084<-: gyw 0.427246 -0.244141 0.0915527
1553268604.959  5.111<-: hbt 198.21 11.5477 1 0 1 272
1553268604.997  5.149<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0319297
1553268605.022  5.174<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268605.029  5.181<-: mca 0.00729169 0.105196
1553268605.046  5.197<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268605.064  5.215<-: acw 0.357222 -0.167822 -9.86795
1553268605.086  5.238<-: gyw 0.183105 0 0.152588
1553268605.116  5.267<-: hbt 198.367 11.5497 1 0 1 272
1553268605.150  5.302<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.031857
